cve,cve_description
CVE-2018-15859,"
## CVE Details

ID: CVE-2018-15859
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2018-08-25T21:29:02.170
Last Modified: 2024-11-21T03:51:35.487
Status: Modified

### Scores

#### CVSS 3.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 5.5 (Exploitability: 1.8, Impact: 3.6)
Vector: [CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H](https://www.first.org/cvss/calculator/3.0#CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: LOW - 2.1 (Exploitability: 3.9, Impact: 2.9)
Vector: [AV:L/AC:L/Au:N/C:N/I:N/A:P](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:L/AC:L/Au:N/C:N/I:N/A:P))

### Description

Unchecked NULL pointer usage when parsing invalid atoms in ExprResolveLhs in xkbcomp/expr.c in xkbcommon before 0.8.2 could be used by local attackers to crash (NULL pointer dereference) the xkbcommon parser by supplying a crafted keymap file, because lookup failures are mishandled.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-476]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:xkbcommon:libxkbcommon:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 0.8.1 (Including)
- cpe:2.3:a:xkbcommon:xkbcommon:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 0.8.1 (Including)

#### Configuration 2 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:canonical:ubuntu_linux:14.04:\*:\*:\*:lts:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:16.04:\*:\*:\*:lts:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:18.04:\*:\*:\*:lts:\*:\*:\*
"
CVE-2018-15861,"
## CVE Details

ID: CVE-2018-15861
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2018-08-25T21:29:02.280
Last Modified: 2024-11-21T03:51:35.670
Status: Modified

### Scores

#### CVSS 3.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 5.5 (Exploitability: 1.8, Impact: 3.6)
Vector: [CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H](https://www.first.org/cvss/calculator/3.0#CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: LOW - 2.1 (Exploitability: 3.9, Impact: 2.9)
Vector: [AV:L/AC:L/Au:N/C:N/I:N/A:P](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:L/AC:L/Au:N/C:N/I:N/A:P))

### Description

Unchecked NULL pointer usage in ExprResolveLhs in xkbcomp/expr.c in xkbcommon before 0.8.2 could be used by local attackers to crash (NULL pointer dereference) the xkbcommon parser by supplying a crafted keymap file that triggers an xkb_intern_atom failure.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-476]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:xkbcommon:libxkbcommon:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 0.8.1 (Including)
- cpe:2.3:a:xkbcommon:xkbcommon:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 0.8.1 (Including)

#### Configuration 2 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:canonical:ubuntu_linux:14.04:\*:\*:\*:lts:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:16.04:\*:\*:\*:lts:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:18.04:\*:\*:\*:lts:\*:\*:\*
"
CVE-2018-15862,"
## CVE Details

ID: CVE-2018-15862
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2018-08-25T21:29:02.373
Last Modified: 2024-11-21T03:51:35.850
Status: Modified

### Scores

#### CVSS 3.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 5.5 (Exploitability: 1.8, Impact: 3.6)
Vector: [CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H](https://www.first.org/cvss/calculator/3.0#CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: LOW - 2.1 (Exploitability: 3.9, Impact: 2.9)
Vector: [AV:L/AC:L/Au:N/C:N/I:N/A:P](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:L/AC:L/Au:N/C:N/I:N/A:P))

### Description

Unchecked NULL pointer usage in LookupModMask in xkbcomp/expr.c in xkbcommon before 0.8.2 could be used by local attackers to crash (NULL pointer dereference) the xkbcommon parser by supplying a crafted keymap file with invalid virtual modifiers.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-476]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:xkbcommon:libxkbcommon:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 0.8.1 (Including)
- cpe:2.3:a:xkbcommon:xkbcommon:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 0.8.1 (Including)

#### Configuration 2 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:canonical:ubuntu_linux:14.04:\*:\*:\*:lts:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:16.04:\*:\*:\*:lts:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:18.04:\*:\*:\*:lts:\*:\*:\*
"
CVE-2018-15863,"
## CVE Details

ID: CVE-2018-15863
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2018-08-25T21:29:02.483
Last Modified: 2024-11-21T03:51:36.037
Status: Modified

### Scores

#### CVSS 3.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 5.5 (Exploitability: 1.8, Impact: 3.6)
Vector: [CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H](https://www.first.org/cvss/calculator/3.0#CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: LOW - 2.1 (Exploitability: 3.9, Impact: 2.9)
Vector: [AV:L/AC:L/Au:N/C:N/I:N/A:P](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:L/AC:L/Au:N/C:N/I:N/A:P))

### Description

Unchecked NULL pointer usage in ResolveStateAndPredicate in xkbcomp/compat.c in xkbcommon before 0.8.2 could be used by local attackers to crash (NULL pointer dereference) the xkbcommon parser by supplying a crafted keymap file with a no-op modmask expression.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-476]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:xkbcommon:libxkbcommon:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 0.8.1 (Including)
- cpe:2.3:a:xkbcommon:xkbcommon:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 0.8.1 (Including)

#### Configuration 2 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:canonical:ubuntu_linux:14.04:\*:\*:\*:lts:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:16.04:\*:\*:\*:lts:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:18.04:\*:\*:\*:lts:\*:\*:\*
"
CVE-2019-18671,"
## CVE Details

ID: CVE-2019-18671
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2019-12-06T18:15:12.653
Last Modified: 2024-11-21T04:33:29.950
Status: Modified

### Scores

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: CRITICAL - 9.8 (Exploitability: 3.9, Impact: 5.9)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: HIGH - 10.0 (Exploitability: 10.0, Impact: 10.0)
Vector: [AV:N/AC:L/Au:N/C:C/I:C/A:C](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:N/AC:L/Au:N/C:C/I:C/A:C))

### Description

Insufficient checks in the USB packet handling of the ShapeShift KeepKey hardware wallet before firmware 6.2.2 allow out-of-bounds writes in the .bss segment via crafted messages. The vulnerability could allow code execution or other forms of impact. It can be triggered by unauthenticated attackers and the interface is reachable via WebUSB.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-787]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:keepkey:keepkey_firmware:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 6.2.2 (Excluding)

##### Node 2

- cpe:2.3:h:keepkey:keepkey:-:\*:\*:\*:\*:\*:\*:\*
"
CVE-2019-18672,"
## CVE Details

ID: CVE-2019-18672
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2019-12-06T18:15:12.700
Last Modified: 2024-11-21T04:33:30.100
Status: Modified

### Scores

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: HIGH - 7.5 (Exploitability: 3.9, Impact: 3.6)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 5.0 (Exploitability: 10.0, Impact: 2.9)
Vector: [AV:N/AC:L/Au:N/C:N/I:P/A:N](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:N/AC:L/Au:N/C:N/I:P/A:N))

### Description

Insufficient checks in the finite state machine of the ShapeShift KeepKey hardware wallet before firmware 6.2.2 allow a partial reset of cryptographic secrets to known values via crafted messages. Notably, this breaks the security of U2F for new server registrations and invalidates existing registrations. This vulnerability can be exploited by unauthenticated attackers and the interface is reachable via WebUSB.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-354]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:shapeshift:keepkey_firmware:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 6.2.2 (Excluding)

##### Node 2

- cpe:2.3:h:shapeshift:keepkey_firmware:-:\*:\*:\*:\*:\*:\*:\*
"
CVE-2021-31616,"
## CVE Details

ID: CVE-2021-31616
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2021-05-06T13:15:12.693
Last Modified: 2024-11-21T06:06:02.100
Status: Modified

### Scores

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: HIGH - 8.8 (Exploitability: 2.8, Impact: 5.9)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 6.8 (Exploitability: 8.6, Impact: 6.4)
Vector: [AV:N/AC:M/Au:N/C:P/I:P/A:P](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:N/AC:M/Au:N/C:P/I:P/A:P))

### Description

Insufficient length checks in the ShapeShift KeepKey hardware wallet firmware before 7.1.0 allow a stack buffer overflow via crafted messages. The overflow in ethereum_extractThorchainSwapData() in ethereum.c can circumvent stack protections and lead to code execution. The vulnerable interface is reachable remotely over WebUSB.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-787]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:shapeshift:keepkey_firmware:\*:\*:\*:\*:\*:\*:\*:\*
  - Start Version:  7.0.3 (Including)
  - End Version: 7.1.0 (Excluding)

##### Node 2

- cpe:2.3:h:shapeshift:keepkey:-:\*:\*:\*:\*:\*:\*:\*
"
CVE-2022-30330,"
## CVE Details

ID: CVE-2022-30330
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2022-05-07T04:15:09.253
Last Modified: 2024-11-21T07:02:36.110
Status: Modified

### Scores

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 6.6 (Exploitability: 0.7, Impact: 5.9)
Vector: [CVSS:3.1/AV:P/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:P/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 6.9 (Exploitability: 3.4, Impact: 10.0)
Vector: [AV:L/AC:M/Au:N/C:C/I:C/A:C](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:L/AC:M/Au:N/C:C/I:C/A:C))

### Description

In the KeepKey firmware before 7.3.2,Flaws in the supervisor interface can be exploited to bypass important security restrictions on firmware operations. Using these flaws, malicious firmware code can elevate privileges, permanently make the device inoperable or overwrite the trusted bootloader code to compromise the hardware wallet across reboots or storage wipes.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-20]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:keepkey:keepkey_firmware:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 7.3.2 (Excluding)

##### Node 2

- cpe:2.3:h:keepkey:keepkey:-:\*:\*:\*:\*:\*:\*:\*
"
CVE-2017-7185,"
## CVE Details

ID: CVE-2017-7185
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2017-04-10T15:59:00.503
Last Modified: 2026-05-13T00:24:29.033
Status: Modified

### Scores

#### CVSS 3.0 Score - Primary - nvd@nist.gov

Base Severity: HIGH - 7.5 (Exploitability: 3.9, Impact: 3.6)
Vector: [CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H](https://www.first.org/cvss/calculator/3.0#CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 5.0 (Exploitability: 10.0, Impact: 2.9)
Vector: [AV:N/AC:L/Au:N/C:N/I:N/A:P](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:N/AC:L/Au:N/C:N/I:N/A:P))

### Description

Use-after-free vulnerability in the mg_http_multipart_wait_for_boundary function in mongoose.c in Cesanta Mongoose Embedded Web Server Library 6.7 and earlier and Mongoose OS 1.2 and earlier allows remote attackers to cause a denial of service (crash) via a multipart/form-data POST request without a MIME boundary string.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-416]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:cesanta:mongoose_embedded_web_server_library:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 6.7 (Including)
- cpe:2.3:o:cesanta:mongoose_os:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 1.2 (Including)
"
CVE-2019-12951,"
## CVE Details

ID: CVE-2019-12951
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2019-06-24T23:15:12.210
Last Modified: 2024-11-21T04:23:53.353
Status: Modified

### Scores

#### CVSS 3.0 Score - Primary - nvd@nist.gov

Base Severity: CRITICAL - 9.8 (Exploitability: 3.9, Impact: 5.9)
Vector: [CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H](https://www.first.org/cvss/calculator/3.0#CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: HIGH - 7.5 (Exploitability: 10.0, Impact: 6.4)
Vector: [AV:N/AC:L/Au:N/C:P/I:P/A:P](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:N/AC:L/Au:N/C:P/I:P/A:P))

### Description

An issue was discovered in Mongoose before 6.15. The parse_mqtt() function in mg_mqtt.c has a critical heap-based buffer overflow.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-787]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:cesanta:mongoose:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 6.15 (Excluding)
"
CVE-2022-25299,"
## CVE Details

ID: CVE-2022-25299
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: report@snyk.io
Published: 2022-02-18T13:15:08.383
Last Modified: 2024-11-21T06:51:57.187
Status: Modified

### Scores

#### CVSS 3.1 Score - Secondary - report@snyk.io

Base Severity: CRITICAL - 9.8 (Exploitability: 3.9, Impact: 5.9)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H)

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: HIGH - 7.5 (Exploitability: 3.9, Impact: 3.6)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 5.0 (Exploitability: 10.0, Impact: 2.9)
Vector: [AV:N/AC:L/Au:N/C:N/I:P/A:N](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:N/AC:L/Au:N/C:N/I:P/A:N))

### Description

This affects the package cesanta/mongoose before 7.6. The unsafe handling of file names during upload using mg_http_upload() method may enable attackers to write files to arbitrary locations outside the designated target folder.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-552]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:cesanta:mongoose:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 7.6 (Excluding)
"
CVE-2021-36143,"
## CVE Details

ID: CVE-2021-36143
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2021-07-02T22:15:08.833
Last Modified: 2024-11-21T06:13:11.433
Status: Modified

### Scores

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: HIGH - 7.5 (Exploitability: 3.9, Impact: 3.6)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 5.0 (Exploitability: 10.0, Impact: 2.9)
Vector: [AV:N/AC:L/Au:N/C:N/I:N/A:P](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:N/AC:L/Au:N/C:N/I:N/A:P))

### Description

ACRN before 2.5 has a hw/pci/virtio/virtio.c vq_endchains NULL Pointer Dereference.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-476]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:linux:acrn:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 2.5 (Excluding)
"
CVE-2021-36148,"
## CVE Details

ID: CVE-2021-36148
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2021-07-02T22:15:08.987
Last Modified: 2024-11-21T06:13:12.147
Status: Modified

### Scores

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: HIGH - 7.8 (Exploitability: 1.8, Impact: 5.9)
Vector: [CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 6.8 (Exploitability: 8.6, Impact: 6.4)
Vector: [AV:N/AC:M/Au:N/C:P/I:P/A:P](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:N/AC:M/Au:N/C:P/I:P/A:P))

### Description

An issue was discovered in ACRN before 2.5. dmar_free_irte in hypervisor/arch/x86/vtd.c allows an irte_alloc_bitmap buffer overflow.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-120]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:linux:acrn:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 2.5 (Excluding)
"
CVE-2020-15888,"
## CVE Details

ID: CVE-2020-15888
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2020-07-21T22:15:12.090
Last Modified: 2024-11-21T05:06:23.010
Status: Modified

### Scores

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: HIGH - 8.8 (Exploitability: 2.8, Impact: 5.9)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 6.8 (Exploitability: 8.6, Impact: 6.4)
Vector: [AV:N/AC:M/Au:N/C:P/I:P/A:P](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:N/AC:M/Au:N/C:P/I:P/A:P))

### Description

Lua through 5.4.0 mishandles the interaction between stack resizes and garbage collection, leading to a heap-based buffer overflow, heap-based buffer over-read, or use-after-free.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-125]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:lua:lua:5.4.0:-:\*:\*:\*:\*:\*:\*
"
CVE-2020-15889,"
## CVE Details

ID: CVE-2020-15889
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2020-07-21T22:15:12.150
Last Modified: 2024-11-21T05:06:23.173
Status: Modified

### Scores

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: CRITICAL - 9.8 (Exploitability: 3.9, Impact: 5.9)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: HIGH - 7.5 (Exploitability: 10.0, Impact: 6.4)
Vector: [AV:N/AC:L/Au:N/C:P/I:P/A:P](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:N/AC:L/Au:N/C:P/I:P/A:P))

### Description

Lua 5.4.0 has a getobjname heap-based buffer over-read because youngcollection in lgc.c uses markold for an insufficient number of list members.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-125]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:lua:lua:5.4.0:\*:\*:\*:\*:\*:\*:\*
"
CVE-2020-15945,"
## CVE Details

ID: CVE-2020-15945
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2020-07-24T21:15:34.553
Last Modified: 2025-02-19T15:15:10.830
Status: Modified

### Scores

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 5.5 (Exploitability: 1.8, Impact: 3.6)
Vector: [CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: LOW - 2.1 (Exploitability: 3.9, Impact: 2.9)
Vector: [AV:L/AC:L/Au:N/C:N/I:N/A:P](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:L/AC:L/Au:N/C:N/I:N/A:P))

### Description

Lua 5.4.0 (fixed in 5.4.1) has a segmentation fault in changedline in ldebug.c (e.g., when called by luaG_traceexec) because it incorrectly expects that an oldpc value is always updated upon a return of the flow of control to a function.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[NVD-CWE-Other]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:lua:lua:\*:\*:\*:\*:\*:\*:\*:\*
  - Start Version:  5.3.1 (Including)
  - End Version: 5.4.0 (Excluding)
"
