cve,owner,repo,patch,commit_count,diff_tokens,ranker_rank,year,repo_size_bucket,diff_bucket,ranker_bucket,year_bucket,language,cwe_family
CVE-2018-15863,xkbcommon,libxkbcommon,96df3106d49438e442510c59acad306e94f3db4d,2340,58,1,2018,1k-5k,<5k,top-1,2018-2020,C,CWE-710: Improper Adherence to Coding Standards
CVE-2019-18671,keepkey,keepkey-firmware,b222c66cdd7c3203d917c80ba615082d309d80c3,3944,764,97,2019,1k-5k,<5k,top-11-100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2019-18672,keepkey,keepkey-firmware,769714fcb569e7a4faff9530a2d9ac1f9d6e5680,3944,298,48,2019,1k-5k,<5k,top-11-100,2018-2020,C,CWE-693: Protection Mechanism Failure
CVE-2021-31616,keepkey,keepkey-firmware,e49d45594002d4d3fbc1f03488e6dfc0a0a65836,3944,154,4,2021,1k-5k,<5k,top-2-10,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-30330,keepkey,keepkey-firmware,447c1f038a31378ab9589965c098467d9ea6cccc,3944,612,69,2022,1k-5k,<5k,top-11-100,2021-2024,C,CWE-707: Improper Neutralization
CVE-2017-7185,cesanta,mongoose,b8402ed0733e3f244588b61ad5fedd093e3cf9cc,4901,64,45,2017,1k-5k,<5k,top-11-100,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2019-12951,cesanta,mongoose,b3e0f780c34cea88f057a62213c012aa88fe2deb,4901,442,1,2019,1k-5k,<5k,top-1,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-25299,cesanta,mongoose,c65c8fdaaa257e0487ab0aaae9e8f6b439335945,4901,896,86,2022,1k-5k,<5k,top-11-100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2021-36143,projectacrn,acrn-hypervisor,154fe59531c12b82e26d1b24b5531f5066d224f5,8265,50,1,2021,5k-10k,<5k,top-1,2021-2024,C,CWE-710: Improper Adherence to Coding Standards
CVE-2021-36148,projectacrn,acrn-hypervisor,25c0e3817eb332660dd63d1d4522e63dcc94e79a,8265,148,1,2021,5k-10k,<5k,top-1,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2020-15888,lua,lua,eb41999461b6f428186c55abd95f4ce1a76217d5,5653,638,34,2020,5k-10k,<5k,top-11-100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2020-15889,lua,lua,127e7a6c8942b362aa3c6627f44d660a4fb75312,5653,142,14,2020,5k-10k,<5k,top-11-100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2020-15945,lua,lua,a2195644d89812e5b157ce7bac35543e06db05e3,5653,1024,1,2020,5k-10k,<5k,top-1,2018-2020,C,Unknown
CVE-2020-24342,lua,lua,34affe7a63fc5d842580a9f23616d057e17dfe27,5653,122,1,2020,5k-10k,<5k,top-1,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2020-24369,lua,lua,ae5b5ba529753c7a653901ffc29b5ea24c3fdf3a,5653,254,3,2020,5k-10k,<5k,top-2-10,2018-2020,C,CWE-710: Improper Adherence to Coding Standards
CVE-2020-24370,lua,lua,a585eae6e7ada1ca9271607a4f48dfb17868ab7b,5653,142,1,2020,5k-10k,<5k,top-1,2018-2020,C,CWE-682: Incorrect Calculation
CVE-2020-24371,lua,lua,a6da1472c0c5e05ff249325f979531ad51533110,5653,1160,3,2020,5k-10k,<5k,top-2-10,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-28805,lua,lua,1f3c6f4534c6411313361697d98d1145a1f030fa,5653,128,11,2022,5k-10k,<5k,top-11-100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-33099,lua,lua,42d40581dd919fb134c07027ca1ce0844c670daf,5653,265,1,2022,5k-10k,<5k,top-1,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-1999-0731,KDE,kde1-kdebase,04906bd5de2f220bf100b605dad37b4a1d9a91a6,6140,34,999,1999,5k-10k,<5k,>100,2009-2011,C,Unknown
CVE-2020-15261,veyon,veyon,f231ec511b9a09f43f49b2c7bb7c60b8046276b1,6418,107,3,2020,5k-10k,<5k,top-2-10,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2016-4300,libarchive,libarchive,e79ef306afe332faf22e9b442a2c6b59cb175573,6089,53,3,2016,5k-10k,<5k,top-2-10,2015-2017,C,CWE-682: Incorrect Calculation
CVE-2021-30218,michaelforney,samurai,e84b6d99c85043fa1ba54851ee500540ec206918,356,62,7,2021,<=1k,<5k,top-2-10,2021-2024,C,CWE-710: Improper Adherence to Coding Standards
CVE-2021-30219,michaelforney,samurai,d2af3bc375e2a77139c3a28d6128c60cd8d08655,356,48,15,2021,<=1k,<5k,top-11-100,2021-2024,C,CWE-710: Improper Adherence to Coding Standards
CVE-2019-1010315,dbry,WavPack,4c0faba32fddbd0745cbfaf1e1aeb3da5d35b9fc,970,178,11,2019,<=1k,<5k,top-11-100,2018-2020,C,CWE-682: Incorrect Calculation
CVE-2018-10539,dbry,WavPack,6f8bb34c2993a48ab9afbe353e6d0cff7c8d821d,970,280,1,2018,<=1k,<5k,top-1,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2019-1010319,dbry,WavPack,33a0025d1d63ccd05d9dbaa6923d52b1446a62fe,970,41,3,2019,<=1k,<5k,top-2-10,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-7254,dbry,WavPack,8e3fe45a7bac31d9a3b558ae0079e2d92a04799e,970,281,1,2018,<=1k,<5k,top-1,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2016-10169,dbry,WavPack,4bc05fc490b66ef2d45b1de26abf1455b486b0dc,970,168,73,2016,<=1k,<5k,top-11-100,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-7253,dbry,WavPack,36a24c7881427d2e1e4dc1cef58f19eee0d13aec,970,109,1,2018,<=1k,<5k,top-1,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-6767,dbry,WavPack,d5bf76b5a88d044a1be1d5656698e3ba737167e5,970,566,1,2018,<=1k,<5k,top-1,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2019-11498,dbry,WavPack,bc6cba3f552c44565f7f1e66dc1580189addb2b4,970,115,7,2019,<=1k,<5k,top-2-10,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-10538,dbry,WavPack,6f8bb34c2993a48ab9afbe353e6d0cff7c8d821d,970,280,1,2018,<=1k,<5k,top-1,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-19841,dbry,WavPack,bba5389dc598a92bdf2b297c3ea34620b6679b5b,970,133,1,2018,<=1k,<5k,top-1,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2019-15522,LINBIT,csync2,416f1de878ef97e27e27508914f7ba8599a0be22,550,30,1,2019,<=1k,<5k,top-1,2018-2020,C,Unknown
CVE-2017-6800,Yeraze,ytnef,f98f5d4adc1c4bd4033638f6167c1bb95d642f89,298,43,20,2017,<=1k,<5k,top-11-100,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2017-6801,Yeraze,ytnef,3cb0f914d6427073f262e1b2b5fd973e3043cdf7,298,148,1,2017,<=1k,<5k,top-1,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2017-6802,Yeraze,ytnef,22f8346c8d4f0020a40d9f258fdb3bfc097359cc,298,164,1,2017,<=1k,<5k,top-1,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-16789,shellinabox,shellinabox,4f0ecc31ac6f985e0dd3f5a52cbfc0e9251f6361,386,158,4,2018,<=1k,<5k,top-2-10,2018-2020,C,CWE-691: Insufficient Control Flow Management
CVE-2012-2675,ned14,nedmalloc,2965eca30c408c13473c4146a9d47d547d288db1,225,87,3,2012,<=1k,<5k,top-2-10,2012-2014,C,Unknown
CVE-2018-14680,kyz,libmspack,72e70a921f0f07fee748aec2274b30784e1d312a,427,318,5,2018,<=1k,<5k,top-2-10,2018-2020,C,CWE-707: Improper Neutralization
CVE-2018-18585,kyz,libmspack,8759da8db6ec9e866cb8eb143313f397f925bb4f,427,195,19,2018,<=1k,<5k,top-11-100,2018-2020,C,CWE-710: Improper Adherence to Coding Standards
CVE-2018-14681,kyz,libmspack,0b0ef9344255ff5acfac6b7af09198ac9c9756c8,427,1826,11,2018,<=1k,<5k,top-11-100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-14682,kyz,libmspack,4fd9ccaa54e1aebde1e4b95fb0163b699fd7bcc8,427,113,2,2018,<=1k,<5k,top-2-10,2018-2020,C,CWE-682: Incorrect Calculation
CVE-2018-18586,kyz,libmspack,7cadd489698be117c47efcadd742651594429e6d,427,1062,1,2018,<=1k,<5k,top-1,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2019-1010305,kyz,libmspack,2f084136cfe0d05e5bf5703f3e83c6d955234b4d,427,264,41,2019,<=1k,<5k,top-11-100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-14679,kyz,libmspack,72e70a921f0f07fee748aec2274b30784e1d312a,427,318,3,2018,<=1k,<5k,top-2-10,2018-2020,C,CWE-682: Incorrect Calculation
CVE-2021-41216,tensorflow,tensorflow,c79ba87153ee343401dbe9d1954d7f79e521eb14,253954,228,942,2021,>10k,<5k,>100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-23595,tensorflow,tensorflow,e21af685e1828f7ca65038307df5cc06de4479e8,253954,228,278,2022,>10k,<5k,>100,2021-2024,C,CWE-710: Improper Adherence to Coding Standards
CVE-2022-35982,tensorflow,tensorflow,40adbe4dd15b582b0210dfbf40c243a62f5119fa,253954,228,456,2022,>10k,<5k,>100,2021-2024,C,CWE-707: Improper Neutralization
CVE-2021-37686,tensorflow,tensorflow,dfa22b348b70bb89d6d6ec0ff53973bacb4f4695,253954,228,2538,2021,>10k,<5k,>100,2021-2024,C,CWE-691: Insufficient Control Flow Management
CVE-2021-29572,tensorflow,tensorflow,f7cc8755ac6683131fdfa7a8a121f9d7a9dec6fb,253954,228,2781,2021,>10k,<5k,>100,2021-2024,C,CWE-710: Improper Adherence to Coding Standards
CVE-2021-29596,tensorflow,tensorflow,f61c57bd425878be108ec787f4d96390579fb83e,253954,228,3615,2021,>10k,<5k,>100,2021-2024,C,CWE-682: Incorrect Calculation
CVE-2021-29560,tensorflow,tensorflow,a84358aa12f0b1518e606095ab9cfddbf597c121,253954,228,2341,2021,>10k,<5k,>100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2021-37668,tensorflow,tensorflow,a776040a5e7ebf76eeb7eb923bf1ae417dd4d233,253954,228,2709,2021,>10k,<5k,>100,2021-2024,C,CWE-682: Incorrect Calculation
CVE-2022-23565,tensorflow,tensorflow,c2b31ff2d3151acb230edc3f5b1832d2c713a9e0,253954,228,3286,2022,>10k,<5k,>100,2021-2024,C,CWE-691: Insufficient Control Flow Management
CVE-2022-23571,tensorflow,tensorflow,5b491cd5e41ad63735161cec9c2a568172c8b6a3,253954,228,5386,2022,>10k,<5k,>100,2021-2024,C,CWE-691: Insufficient Control Flow Management
CVE-2015-8958,ImageMagick,ImageMagick,1aa0c6dab6dcef4d9bc3571866ae1c1ddbec7d8f|b8f17d08b7418204bf8a05a5c24e87b2fc395b75,63797,228,10000,2015,>10k,<5k,>100,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2017-12640,ImageMagick,ImageMagick,307fa45d512641fcd105f0d57ca50c1437cd1b81,63797,52,200,2017,>10k,<5k,>100,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2017-12876,ImageMagick,ImageMagick,1cc6f0ccc92c20c7cab6c4a7335daf29c91f0d8e,63797,93,116,2017,>10k,<5k,>100,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2016-8677,ImageMagick,ImageMagick,6e48aa92ff4e6e95424300ecd52a9ea453c19c60,63797,465,255,2016,>10k,<5k,>100,2015-2017,C,Unknown
CVE-2017-13143,ImageMagick,ImageMagick,51b0ae01709adc1e4a9245e158ef17b85a110960,63797,46,687,2017,>10k,<5k,>100,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2019-10714,ImageMagick,ImageMagick,edc7d3035883ddca8413e4fe7689aa2e579ef04a,63797,131,1,2019,>10k,<5k,top-1,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2017-9143,ImageMagick,ImageMagick,3b0fe05cddd8910f84e51b4d50099702ea45ba4a,63797,53,7,2017,>10k,<5k,top-2-10,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2017-14341,ImageMagick,ImageMagick,7d63315a64267c565d1f34b9cb523a14616fed24,63797,32,58,2017,>10k,<5k,top-11-100,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2017-12427,ImageMagick,ImageMagick,e793eb203e5e0f91f5037aed6585e81b1e27395b,63797,137,12,2017,>10k,<5k,top-11-100,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2019-18853,ImageMagick,ImageMagick,ec9c8944af2bfc65c697ca44f93a727a99b405f1,63797,87,5,2019,>10k,<5k,top-2-10,2018-2020,C,CWE-691: Insufficient Control Flow Management
CVE-2012-6696,inspircd,inspircd,ed28c1ba666b39581adb860bf51cdde43c84cc89,16081,66,3365,2012,>10k,<5k,>100,2012-2014,C,CWE-707: Improper Neutralization
CVE-2015-8702,inspircd,inspircd,6058483d9fbc1b904d5ae7cfea47bfcde5c5b559,16081,72,40,2015,>10k,<5k,top-11-100,2015-2017,C,CWE-707: Improper Neutralization
CVE-2016-7142,inspircd,inspircd,74fafb7f11b06747f69f182ad5e3769b665eea7a,16081,79,1,2016,>10k,<5k,top-1,2015-2017,C,Unknown
CVE-2019-20917,inspircd,inspircd,8745660fcdac7c1b80c94cfc0ff60928cd4dd4b7,16081,68,1743,2019,>10k,<5k,>100,2018-2020,C,CWE-710: Improper Adherence to Coding Standards
CVE-2019-20918,inspircd,inspircd,7b47de3c194f239c5fea09a0e49696c9af017d51,16081,30,407,2019,>10k,<5k,>100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2021-33586,inspircd,inspircd,4350a11c663b0d75f8119743bffb7736d87abd4d,16081,95,32,2021,>10k,<5k,top-11-100,2021-2024,C,CWE-284: Improper Access Control
CVE-2023-5217,webmproject,libvpx,3fbd1dca6a4d2dad332a2110d646e4ffef36d590|af6dedd715f4307669366944cca6e0417b290282,22672,0,10000,2023,>10k,<5k,>100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-45907,pytorch,pytorch,767f6aa49fe20a2766b9843d01e3b7f7793df6a3,123403,228,460,2022,>10k,<5k,>100,2021-2024,C,CWE-707: Improper Neutralization
CVE-2024-31580,pytorch,pytorch,b5c3a17c2c207ebefcb85043f0cf94be9b2fef81,123403,228,1,2024,>10k,<5k,top-1,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2024-31583,pytorch,pytorch,9c7071b0e324f9fb68ab881283d6b8d388a4bcd2,123403,228,1,2024,>10k,<5k,top-1,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2021-4019,vim,vim,bd228fd097b41a798f90944b5d1245eddd484142,20722,149,3,2021,>10k,<5k,top-2-10,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-1886,vim,vim,2a585c85013be22f59f184d49612074fd9b115d7,20722,166,10,2022,>10k,<5k,top-2-10,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2021-3973,vim,vim,615ddd5342b50a6878a907062aa471740bd9a847,20722,276,16,2021,>10k,<5k,top-11-100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-3297,vim,vim,0ff01835a40f549c5c4a550502f62a2ac9ac447c,20722,613,9,2022,>10k,<5k,top-2-10,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-2210,vim,vim,c101abff4c6756db4f5e740fde289decb9452efa,20722,232,19,2022,>10k,<5k,top-11-100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2021-4192,vim,vim,4c13e5e6763c6eb36a343a2b8235ea227202e952,20722,223,35,2021,>10k,<5k,top-11-100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2021-3984,vim,vim,2de9b7c7c8791da8853a9a7ca9c467867465b655,20722,199,26,2021,>10k,<5k,top-11-100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-1420,vim,vim,8b91e71441069b1dde9ac9ff9d9a829b1b4aecca,20722,247,3,2022,>10k,<5k,top-2-10,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-2183,vim,vim,8eba2bd291b347e3008aa9e565652d51ad638cfa,20722,163,16,2022,>10k,<5k,top-11-100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-3037,vim,vim,4f1b083be43f351bc107541e7b0c9655a5d2c0bb,20722,182,7,2022,>10k,<5k,top-2-10,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2016-10156,systemd,systemd,ee735086f8670be1591fa9593e80dd60163a7a2f,69687,265,12806,2016,>10k,<5k,>100,2015-2017,C,Unknown
CVE-2017-9217,systemd,systemd,a924f43f30f9c4acaf70618dd2a055f8b0f166be,69687,41,3,2017,>10k,<5k,top-2-10,2015-2017,C,CWE-710: Improper Adherence to Coding Standards
CVE-2019-20386,systemd,systemd,b2774a3ae692113e1f47a336a6c09bac9cfb49ad,69687,48,5,2019,>10k,<5k,top-2-10,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2021-3997,systemd,systemd,5b1cf7a9be37e20133c0208005274ce4a5b5c6a1,69687,1103,243,2021,>10k,<5k,>100,2021-2024,C,CWE-691: Insufficient Control Flow Management
CVE-2022-2526,systemd,systemd,d973d94dec349fb676fdd844f6fe2ada3538f27c,69687,94,64,2022,>10k,<5k,top-11-100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2017-9060,qemu,qemu,dd248ed7e204ee8a1873914e02b8b526e8f1b80d,95630,29,2,2017,>10k,<5k,top-2-10,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2017-9374,qemu,qemu,d710e1e7bd3d5bfc26b631f02ae87901ebe646b0,95630,164,11,2017,>10k,<5k,top-11-100,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2017-5856,qemu,qemu,765a707000e838c30b18d712fe6cb3dd8e0435f3,95630,152,1,2017,>10k,<5k,top-1,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2016-8576,qemu,qemu,05f43d44e4bc26611ce25fd7d726e483f73363ce,95630,202,3,2016,>10k,<5k,top-2-10,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2016-9106,qemu,qemu,fdfcc9aeea1492f4b819a24c94dfb678145b1bf9,95630,48,1,2016,>10k,<5k,top-1,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2016-7161,qemu,qemu,a0d1cbdacff5df4ded16b753b38fdd9da6092968,95630,66,1,2016,>10k,<5k,top-1,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
